neuroNamesID,cNIDType,cNID,cTypeId,cType,brainStructureType,standardName,standardAcronym,brainInfoURL,cDefinition,synonyms,parents
1,h,-2063754382,9,classical nervous system,Gray Primary Structure,superior frontopolar gyrus,FPGS,http://braininfo.org/centraldirectory.aspx?ID=1,"refers to the dorsal-most of three horizontal gyri located at the frontal pole of the human frontal lobe. Defined by gross dissection, the three constitute the transverse frontopolar gyri. The other two are the middle frontopolar gyrus and the inferior frontopolar gyrus ( Mai-1997 ). Equivalent structures are not found in the macaque or in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
2,h,-2005119656,9,classical nervous system,White Primary Structure,lingual white matter,liw,http://braininfo.org/centraldirectory.aspx?ID=2,refers to the part of occipital lobe white matter that is located beneath the lingual gyrus as defined by dissection and stains for myelin in the human ( Oishi-2009 ) and the macaque ( BrainInfo-2001 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).,,
3,h,-1973597309,9,classical nervous system,White Primary Structure,isthmus of cingulate white matter,icgw,http://braininfo.org/centraldirectory.aspx?ID=3,refers to the part of cingulate white matter that is located beneath the isthmus of the cingulate gyrus as defined by dissection and stains for myelin in the human ( NeuroNames ) and the macaque ( BrainInfo-2001 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).,,
4,h,-1838638796,9,classical nervous system,White Primary Structure,supramarginal white matter,smw,http://braininfo.org/centraldirectory.aspx?ID=4,refers to the part of parietal white matter that is located beneath the supramarginal gyrus as defined by dissection and stains for myelin. It is found in the human ( NeuroNames ) and the macaque ( BrainInfo-2001 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).,,
5,h,-1772196785,9,classical nervous system,White Primary Structure,precentral white matter,prw,http://braininfo.org/centraldirectory.aspx?ID=5,"refers to the part of frontal white matter that is located beneath the precentral gyrus. Defined by dissection and stains for myelin, it is found in the human ( NeuroNames ) and the macaque ( BrainInfo-2001 ).Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
6,h,-1761421113,9,classical nervous system,Gray Primary Structure,posterior orbital gyrus,POrG,http://braininfo.org/centraldirectory.aspx?ID=6,"refers to one of four orbital gyri that form the ventral surface of the frontal lobe in the human. It is a convolution located caudal to the transverse orbital sulcus, between the medial orbital gyrus and the lateral orbital gyrus ( Mai-1997 ); it may abut the anterior insula posteriorly ( Ture-1999 ).  It is not found in the macaque or in the smooth cerebral cortex of the rat, or mouse ( NeuroNames ). ",,
7,a,-1639234958,6,ancillary concepts,Gray Primary Structure,parasolitary nucleus,PSol,http://braininfo.org/centraldirectory.aspx?ID=7,"refers to a cell group located in the medulla just lateral to the solitary nucleus. It is found in the human ( Crosby-1962 ), the macaque ( Paxinos-2009a ), the rat ( Swanson-2004 ), and the mouse ( Paxinos-2001 ).  Functionally it is one of seven nuclear groups that comprise postcerebellar and precerebellar nuclei of the subcortical motor system ( Swanson-2004 ).",,
8,h,-1517302059,9,classical nervous system,White Primary Structure,lateral orbital white matter,lorw,http://braininfo.org/centraldirectory.aspx?ID=8,"refers to the part of frontal white matter that is located beneath the lateral orbital gyrus. Defined by dissection and stains for myelin, it is found in the human ( NeuroNames ) and the macaque ( BrainInfo-2001 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
9,h,-1497723952,9,classical nervous system,White Primary Structure,inferior temporal white matter,itw,http://braininfo.org/centraldirectory.aspx?ID=9,"refers to the part of frontal white matter that is located deep to the inferior temporal gyrus. Defined by dissection and stains for myelin, it is found in the human and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
10,h,-1480491770,9,classical nervous system,White Primary Structure,medial orbital white matter,morw,http://braininfo.org/centraldirectory.aspx?ID=10,"refers to the part of frontal white matter that is located deep to the medial orbital gyrus. Defined by dissection and stains for myelin, it is found in the human and the macaque. Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
11,h,-1465682436,9,classical nervous system,Gray Primary Structure,inferior rostral gyrus,IRoG,http://braininfo.org/centraldirectory.aspx?ID=11,"refers to a convolution on the medial surface of the frontal lobe in the human ( Mai-1997 ). Defined on the basis of dissection and stains for Nissl substance, it is bounded dorsally by the superior rostral gyrus and the cingulate gyrus. Ventrally the rostral sulcus separates it from the straight gyrus. It is not found in the macaque, where the comparable area dorsal to the rostral sulcus is occupied by the anterior cingulate gyrus ( Martin-2000 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
12,h,-1384141764,9,classical nervous system,White Primary Structure,posterior cingulate white matter,pcgw,http://braininfo.org/centraldirectory.aspx?ID=12,"refers to the part of limbic white matter that is located deep to the posterior cingulate gyrus. Defined by dissection and stains for myelin, it is found in the human and the macaque. Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
13,h,-1278177547,9,classical nervous system,Gray Primary Structure,intermediate orbital gyrus,IOrG,http://braininfo.org/centraldirectory.aspx?ID=13,"refers to one of four orbital gyri on the ventral surface of the frontal lobe in the human. Defined on the basis of dissection and stains for Nissl substance, it is located between the medial orbital gyrus and the lateral orbital gyrus. It is separated from the posterior orbital gyrus by the, transverse orbital sulcus, the horizontal component of the orbital sulci ( Mai-1997 ). The comparable central portion of the orbital gyri in the frontal lobe of the macaque is occupied by the medial part of the lateral orbital gyrus ( Martin-2000 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
14,h,-1269332145,9,classical nervous system,White Primary Structure,cuneate white matter,cuw,http://braininfo.org/centraldirectory.aspx?ID=14,"refers to the part of occipital white matter that is located deep to the cuneus on the medial aspect of the occipital lobe. Defined by dissection and stains for myelin, it is found in the human and the macaque. Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
